operator_id,total_records,incoming_records,outgoing_records,incoming_missed,incoming_answered_durations_sum,incoming_answered_count,outgoing_count,avg_time_to_answer_incoming,incoming_missed_rate,outgoing_rate,flag_high_missed,flag_slow_answer,flag_low_outgoing,ineficaz
890412.0,146,7,139,0,7488,7,139,1069.7142857142858,0.0,0.952054794520548,False,True,False,False
890416.0,139,0,139,0,0,0,139,,,1.0,False,False,False,False
890420.0,79,0,79,0,0,0,79,,,1.0,False,False,False,False
890422.0,56,0,56,0,0,0,56,,,1.0,False,False,False,False
890582.0,66,40,26,1,4695,39,26,120.38461538461539,0.025,0.3939393939393939,False,False,False,False
890618.0,77,31,46,1,7603,30,46,253.43333333333334,0.03225806451612903,0.5974025974025974,False,False,False,False
891152.0,85,0,85,0,0,0,85,,,1.0,False,False,False,False
891154.0,118,0,118,0,0,0,118,,,1.0,False,False,False,False
891156.0,11,0,11,0,0,0,11,,,1.0,False,False,False,False
891158.0,96,0,96,0,0,0,96,,,1.0,False,False,False,False
891160.0,73,0,73,0,0,0,73,,,1.0,False,False,False,False
891162.0,35,0,35,0,0,0,35,,,1.0,False,False,False,False
891166.0,89,0,89,0,0,0,89,,,1.0,False,False,False,False
891170.0,40,0,40,0,0,0,40,,,1.0,False,False,False,False
891192.0,1,0,1,0,0,0,1,,,1.0,False,False,False,False
891250.0,1,0,1,0,0,0,1,,,1.0,False,False,False,False
891252.0,13,0,13,0,0,0,13,,,1.0,False,False,False,False
891254.0,1,1,0,0,79,1,0,79.0,0.0,0.0,False,False,True,False
891410.0,261,70,191,2,98168,68,191,1443.6470588235295,0.02857142857142857,0.7318007662835249,False,True,False,False
891414.0,249,59,190,1,81459,58,190,1404.4655172413793,0.01694915254237288,0.7630522088353414,False,True,False,False
891416.0,190,47,143,0,17749,47,143,377.63829787234044,0.0,0.7526315789473684,False,False,False,False
891646.0,7,7,0,0,209,7,0,29.857142857142858,0.0,0.0,False,False,True,False
891744.0,8,4,4,0,67,4,4,16.75,0.0,0.5,False,False,False,False
891746.0,5,0,5,0,0,0,5,,,1.0,False,False,False,False
891824.0,19,7,12,0,195,7,12,27.857142857142858,0.0,0.631578947368421,False,False,False,False
891900.0,17,17,0,0,3987,17,0,234.52941176470588,0.0,0.0,False,False,True,False
891906.0,29,29,0,0,12593,29,0,434.2413793103448,0.0,0.0,False,False,True,False
891908.0,32,27,5,0,9105,27,5,337.22222222222223,0.0,0.15625,False,False,True,False
891918.0,6,5,1,0,315,5,1,63.0,0.0,0.16666666666666666,False,False,True,False
891946.0,27,13,14,0,1211,13,14,93.15384615384616,0.0,0.5185185185185185,False,False,False,False
891948.0,1,1,0,0,33,1,0,33.0,0.0,0.0,False,False,True,False
891970.0,2,0,2,0,0,0,2,,,1.0,False,False,False,False
891976.0,1,0,1,0,0,0,1,,,1.0,False,False,False,False
891988.0,168,63,105,0,48708,63,105,773.1428571428571,0.0,0.625,False,False,False,False
892028.0,64,0,64,0,0,0,64,,,1.0,False,False,False,False
892530.0,15,7,8,0,523,7,8,74.71428571428571,0.0,0.5333333333333333,False,False,False,False
892532.0,67,28,39,0,6218,28,39,222.07142857142858,0.0,0.582089552238806,False,False,False,False
892534.0,14,8,6,0,6546,8,6,818.25,0.0,0.42857142857142855,False,False,False,False
892536.0,21,11,10,0,1767,11,10,160.63636363636363,0.0,0.47619047619047616,False,False,False,False
892538.0,25,6,19,0,2016,6,19,336.0,0.0,0.76,False,False,False,False
892798.0,4,1,3,0,49,1,3,49.0,0.0,0.75,False,False,False,False
892800.0,3,0,3,0,0,0,3,,,1.0,False,False,False,False
893172.0,25,23,2,0,3665,23,2,159.34782608695653,0.0,0.08,False,False,True,False
893400.0,5,2,3,0,59,2,3,29.5,0.0,0.6,False,False,False,False
893402.0,117,82,35,3,29641,79,35,375.2025316455696,0.036585365853658534,0.29914529914529914,False,False,True,False
893420.0,72,51,21,1,18237,50,21,364.74,0.0196078431372549,0.2916666666666667,False,False,True,False
893674.0,83,0,83,0,0,0,83,,,1.0,False,False,False,False
893700.0,3,0,3,0,0,0,3,,,1.0,False,False,False,False
893804.0,289,107,182,9,172608,98,182,1761.3061224489795,0.08411214953271028,0.629757785467128,False,True,False,False
894120.0,9,9,0,1,1415,8,0,176.875,0.1111111111111111,0.0,False,False,True,False
894224.0,17,9,8,1,697,8,8,87.125,0.1111111111111111,0.47058823529411764,False,False,False,False
894226.0,11,0,11,0,0,0,11,,,1.0,False,False,False,False
894230.0,12,3,9,1,321,2,9,160.5,0.3333333333333333,0.75,True,False,False,False
894232.0,13,3,10,1,79,2,10,39.5,0.3333333333333333,0.7692307692307693,True,False,False,False
894614.0,6,6,0,1,1467,5,0,293.4,0.16666666666666666,0.0,True,False,True,True
894656.0,153,15,138,0,843,15,138,56.2,0.0,0.9019607843137255,False,False,False,False
894662.0,18,1,17,0,668,1,17,668.0,0.0,0.9444444444444444,False,False,False,False
894934.0,3,0,3,0,0,0,3,,,1.0,False,False,False,False
895140.0,2,2,0,0,91,2,0,45.5,0.0,0.0,False,False,True,False
895170.0,10,10,0,0,764,10,0,76.4,0.0,0.0,False,False,True,False
895172.0,39,6,33,0,1509,6,33,251.5,0.0,0.8461538461538461,False,False,False,False
895266.0,3,2,1,0,35,2,1,17.5,0.0,0.3333333333333333,False,False,True,False
895370.0,2,0,2,0,0,0,2,,,1.0,False,False,False,False
